,DetectionMode,LE,Dwell,SSNR (normal),SSNR (horizontal split),SSNR (vertical split),SNR (Joy),"SNR (Joy, horizontal split)"
24,ADF-STEM,28,100.0,4.368337968936375,67.74113528469486,2.675275129675182,2.8082290995496404,59.79958115673955
25,ADF-STEM,28,100.0,4.002008187677767,63.06630178365825,2.4248113438128196,2.4350164819474105,54.52309269042102
26,ADF-STEM,28,100.0,16.108511421056534,210.67656246295257,10.729208433165848,11.356752727413362,163.1893700660694
27,ADF-STEM,28,100.0,15.401605053183138,204.81023009140222,10.237052695338948,10.531097076169132,156.046972111733
28,ADF-STEM,28,200.0,4.335230616330626,23.086598445972555,2.844457918142038,2.5238856222244914,19.854589473231393
29,ADF-STEM,28,200.0,2.8664195982315706,16.45641905819286,1.7856606309280876,1.6898388616933118,15.095986799504395
30,ADF-STEM,28,200.0,5.896927223709938,30.034059645427867,3.974212554820352,3.970327835018453,27.925710457991126
31,ADF-STEM,28,200.0,5.874596292836791,30.152439097556027,3.954272838009004,3.871843202526698,27.614751434935528
44,ADF-STEM,28,300.0,5.808732202788987,21.183633916957792,4.067362307154505,4.0251094167877355,19.93140602272436
45,ADF-STEM,28,300.0,7.212585232240476,25.298309046690303,5.123473107984913,5.052825693319297,23.54908026756424
46,ADF-STEM,28,300.0,7.130633021885537,25.75258195029356,5.039750553132624,4.964877156811932,23.979189475079927
47,ADF-STEM,28,300.0,7.144758569546789,25.591994817810868,5.053804630113754,4.922267126920195,23.57358742303032
60,ADF-STEM,28,500.0,10.267827490361917,34.277619384074605,7.431685521329118,7.053235336518117,31.016578920520935
61,ADF-STEM,28,500.0,9.935291408334367,32.92944977405307,7.192505112393726,6.125205663667607,27.092026282049915
62,ADF-STEM,28,500.0,10.462422434317377,35.069553277902955,7.562534274987888,5.739315917579969,26.07494547976899
63,ADF-STEM,28,500.0,8.18169121228999,27.794534070686883,5.863992532547139,5.122824318822221,23.588703078501048
12,ADF-STEM,28,1000.0,14.946333232299455,46.71876372445075,11.056872601970474,10.04937239851663,40.188688247813
13,ADF-STEM,28,1000.0,14.576177256759184,45.53828287723012,10.785127994422927,9.924200728637047,39.735928032745335
14,ADF-STEM,28,1000.0,14.984951920164375,45.95076419690361,11.125730704667813,10.580870260869666,41.3127939867767
15,ADF-STEM,28,1000.0,13.849500785302887,42.77655350393562,10.267131326582353,9.514363752932752,37.64882814068436
16,ADF-STEM,28,1000.0,14.173572892667703,43.421555666258236,10.528465939200812,9.739847192263348,38.05531345636166
17,ADF-STEM,28,1000.0,12.754070198059631,39.29963051095188,9.447728910942574,8.99829536341741,35.54797971503412
18,ADF-STEM,28,1000.0,13.47598971126192,41.97922127518397,9.969930487424937,8.726339277291375,35.13855800831023
19,ADF-STEM,28,1000.0,15.074798602134894,46.299330530344164,11.214445133781268,10.867434120568191,42.22959008533819
20,ADF-STEM,28,1000.0,14.47869826119754,44.27495695717329,10.76626024529644,10.143618340289613,39.563347085360014
21,ADF-STEM,28,1000.0,14.702591656112244,45.42946544600059,10.91451348680205,10.405199232646229,40.8282615029709
22,ADF-STEM,28,1000.0,18.54369302344432,55.59150487471158,13.873537553838364,13.561302171619484,50.61366511480371
23,ADF-STEM,28,1000.0,18.344715910837103,55.91167228108853,13.69930625708923,13.05972798445595,49.710728388615436
32,ADF-STEM,28,3000.0,11.614697264512541,19.203965323576508,9.681479452498351,8.652180091912772,16.834515919833358
33,ADF-STEM,28,3000.0,10.37635716245601,17.190231779962204,8.62547234089305,7.102241510129096,14.049170763498589
34,ADF-STEM,28,3000.0,17.393307359712008,28.541891432834102,14.57913965020986,13.61984365044706,25.870115278706923
35,ADF-STEM,28,3000.0,19.279871915813075,31.611211152034002,16.14805808599397,9.504376847672074,18.45577270415305
36,ADF-STEM,28,3000.0,23.96943094340527,38.73004174723264,20.228619272192336,18.774455851602337,34.47758187451389
37,ADF-STEM,28,3000.0,25.634409179802216,41.526320684785986,21.605086246525026,14.857572626869388,27.814558544529937
38,ADF-STEM,28,3000.0,20.66006994637576,33.88551601897679,17.49073947647507,14.776354944803622,27.658927568618747
39,ADF-STEM,28,3000.0,20.864189292383255,34.08612806072915,17.75069093763642,16.04658133670126,29.850327109684688
40,ADF-STEM,28,3000.0,18.6936565922944,30.614688409733105,15.898551155538879,13.498335219213768,25.23198367465465
41,ADF-STEM,28,3000.0,18.924602963156858,31.009215511235507,16.072507278006412,15.42836967035393,28.82224838932507
42,ADF-STEM,28,3000.0,33.54891965028313,54.54250715432454,28.561625730677914,11.893761186977171,22.521335721602593
43,ADF-STEM,28,3000.0,26.779258523435324,43.7656295223622,22.812646798085606,10.575935342322943,20.186692200469587
48,ADF-STEM,28,5000.0,31.902411242382364,43.48261805608426,28.85010510785637,26.923991687149794,38.98449380352682
49,ADF-STEM,28,5000.0,16.86067891973131,23.206101627226737,15.179548233291273,13.878674309142937,20.768341849317373
50,ADF-STEM,28,5000.0,27.276855303559255,37.329728207824616,24.621067924599533,22.577132811387784,33.00598228834471
51,ADF-STEM,28,5000.0,20.735676634074416,28.448494870421875,18.78127820483919,17.721614328424685,26.11683011147295
52,ADF-STEM,28,5000.0,28.664467794039755,39.220380633985656,25.89485038736956,23.014415408050535,33.65925657250318
53,ADF-STEM,28,5000.0,36.17066911051908,48.92297048564924,32.79610692169738,23.12264939090763,33.429984944424945
54,ADF-STEM,28,5000.0,25.634157933003532,34.48855685701926,23.221819899294566,21.761559932574023,31.2126260087354
55,ADF-STEM,28,5000.0,24.89113679740299,33.63556064057391,22.57043816226066,19.43612073920699,28.205819217873824
56,ADF-STEM,28,5000.0,20.30621920911941,27.48415662955265,18.42794742430554,15.391218012730254,22.484660986813765
57,ADF-STEM,28,5000.0,20.0292506735946,27.11322519099102,18.182043891540562,16.28281063824076,23.718502979832415
58,ADF-STEM,28,5000.0,26.881315034471864,36.74081731258423,24.33940781008984,22.236879307505845,32.30860113280471
59,ADF-STEM,28,5000.0,17.16729653259102,23.49984563612704,15.50986514106939,13.58237656520023,20.097026501438624
0,ADF-STEM,28,10000.0,32.10866761451583,38.25486039832285,30.507995711014313,20.946243340191117,25.588753501430464
1,ADF-STEM,28,10000.0,26.856103408797775,32.21515976390877,25.44511666000709,21.658625221642986,26.72648085476422
2,ADF-STEM,28,10000.0,33.663984179126,40.492149518365714,31.953513078833865,27.9361400999173,34.1960529698235
3,ADF-STEM,28,10000.0,21.91278453437995,26.10818374917433,20.77794397973785,18.815031624057703,23.122601147824504
4,ADF-STEM,28,10000.0,47.43170679146114,56.06989457790168,45.338898644606836,35.55143668162682,42.28537755387841
5,ADF-STEM,28,10000.0,47.20877719387037,56.332791501067334,44.75894517228156,31.078540227465083,37.79531877428218
6,ADF-STEM,28,10000.0,36.00378902878754,42.33766951287716,34.329324642474894,29.052331385858388,34.674448240073175
7,ADF-STEM,28,10000.0,37.29678581757695,44.097849852348595,35.407567195995604,27.739407323493552,33.41799730224669
8,ADF-STEM,28,10000.0,29.922819009860753,35.14995763144271,28.39352503035977,24.689105774674697,29.68604951911098
9,ADF-STEM,28,10000.0,31.791108494798003,37.555265014994994,30.36058439831969,27.12053217756408,32.491025133474565
10,ADF-STEM,28,10000.0,42.138010562563906,49.49933184432052,40.005779728666255,28.284923509027976,33.87521751738928
11,ADF-STEM,28,10000.0,73.07065227201625,85.99184363458976,69.86999069500527,56.70467417406037,65.63563920777356
76,BSD,1.5,100.0,-0.14429944926267357,-0.3372586705014596,0.008967838033004272,0.05112332476318033,-0.33693260124628205
77,BSD,1.5,100.0,-0.1462331349426324,-0.3366848596976395,-0.024424677639878545,0.008157532407385093,-0.3363595763145886
78,BSD,1.5,100.0,-0.1457086769934019,-0.3378655816128435,-0.0018349520072039605,0.04031184213165978,-0.33753713791559764
79,BSD,1.5,100.0,-0.1454804992474025,-0.33728958752174654,-0.0067631510525614225,0.03715322795957708,-0.33695491985837406
80,BSD,1.5,100.0,-0.14538573320132253,-0.3387136782739363,0.0008242281322226042,0.04291773841372808,-0.3383708417501999
81,BSD,1.5,100.0,-0.1465088005281006,-0.3386924122157716,-0.006111134459559853,0.037138450601813436,-0.33834942849435956
82,BSD,1.5,100.0,-0.1449940771539991,-0.3379571145441409,0.006611995349705357,0.047612633725496546,-0.33763535287272733
83,BSD,1.5,200.0,-0.025207594793454025,-0.07162172985684684,-0.0021817372629187037,-0.00151766349964877,-0.0702163163036032
84,BSD,1.5,200.0,-0.024933379940639655,-0.07018858726923144,-0.0006714517066906955,4.240641675271847e-05,-0.06881042555845672
85,BSD,1.5,200.0,-0.02523693611082789,-0.07178204228302032,-0.0005277594652729478,0.0001506099016648488,-0.07031404683479152
86,BSD,1.5,200.0,-0.024586307509082417,-0.06972194981001834,0.0007137676840334173,0.0013643461744544591,-0.06830711483882239
87,BSD,1.5,200.0,-0.025049771626366152,-0.07236020216250749,-0.0002822562441098242,0.0005360523890806944,-0.07106285866140805
88,BSD,1.5,200.0,-0.025627613309797292,-0.07226219170032994,-0.0027515411739733042,-0.0020599677959873535,-0.07098851662456875
94,BSD,1.5,300.0,-0.03221122420935468,-0.09008242712782905,-0.00017581956533235799,0.00040920792466908043,-0.08869320938946589
95,BSD,1.5,300.0,-0.03180588643273627,-0.09012467344815833,0.0004207681069515745,0.001055858918016977,-0.0887550609003807
96,BSD,1.5,300.0,-0.03217006802017691,-0.09200181162483978,0.001122086078027329,0.0017366660658435621,-0.09069712439468451
97,BSD,1.5,300.0,-0.030866487174541546,-0.08991244856304309,0.0001109682559927716,0.0005461325348864295,-0.08877443499088142
98,BSD,1.5,300.0,-0.031824920829515324,-0.0913686644410775,0.0015121365096323336,0.0020556878190500956,-0.09002593112998734
99,BSD,1.5,300.0,-0.032221885002714334,-0.0918552691643964,0.0007523687137263035,0.0014566179043802648,-0.09050296126897521
106,BSD,1.5,500.0,-0.030720287042812183,-0.08961795650988624,0.0007558577862282201,0.00134554054972617,-0.08839274921007409
107,BSD,1.5,500.0,-0.0281442551089289,-0.08805588828908384,0.0036429558881462265,0.003282734409078644,-0.08752974273460859
108,BSD,1.5,500.0,-0.03313078328113325,-0.09503986031870704,0.0010483593008768777,0.0017709408080486932,-0.09365853134392639
109,BSD,1.5,500.0,-0.033115955484493004,-0.09408467109154711,-0.00021597677794032988,0.00036892904111229786,-0.09265274988836886
110,BSD,1.5,500.0,-0.03038069160600379,-0.0912004907274836,0.0035996063657421917,0.003748481226304275,-0.09029618223190525
111,BSD,1.5,500.0,-0.03318478564505328,-0.09513400887145484,-0.0009732501883567002,-0.0003502552329408816,-0.09384967302878168
70,BSD,1.5,1000.0,0.010293073771981631,-0.03327434723670625,0.03330299070993725,0.02139687458683737,-0.04352307854561295
71,BSD,1.5,1000.0,0.013572675334896034,-0.03167382261089502,0.03642584941464666,0.023423284770440984,-0.04296039137193768
72,BSD,1.5,1000.0,0.009963650427901038,-0.03435819794534378,0.03443700137579209,0.03421729219037802,-0.03371205058736499
73,BSD,1.5,1000.0,0.023473624421007866,-0.019921854181095044,0.04631582700825787,0.044537340397545505,-0.020601843587968623
74,BSD,1.5,1000.0,0.038118039277031,-0.004067086369164197,0.06283491131229557,0.041581778347753645,-0.023118457184645228
75,BSD,1.5,1000.0,0.021780144888327968,-0.0193367772407112,0.043301727336682694,0.04228364943555388,-0.019261297279538202
89,BSD,1.5,3000.0,1.0799391020780151,1.0092367097016288,1.120828603802577,1.0476298559372357,0.9418800397560596
90,BSD,1.5,3000.0,0.5511976446499939,0.5023334935405239,0.5762517096992019,0.5676559394456117,0.49611808317920125
91,BSD,1.5,3000.0,0.050125280875235434,0.014483109924081972,0.06857114150812649,0.06506128646545882,0.012003604783186787
92,BSD,1.5,3000.0,0.31494566244133315,0.2726082336713186,0.3373242143799987,0.31198443351228405,0.25017121735488806
