,FilePos,DetectionMode,LE,Dwell,SSNR,SNR_Joy,Mode
24,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_100ns_000_000.tif,ADF-STEM,28,100.0,2.675275129675182,2.8082290995496404,HR
25,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_100ns_000_001.tif,ADF-STEM,28,100.0,2.4248113438128196,2.4350164819474105,HR
26,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_100ns_001_000.tif,ADF-STEM,28,100.0,10.729208433165848,11.356752727413362,HR
27,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_100ns_001_001.tif,ADF-STEM,28,100.0,10.237052695338948,10.531097076169132,HR
28,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_200ns_001_000.tif,ADF-STEM,28,200.0,2.844457918142038,2.5238856222244914,HR
29,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_200ns_001_001.tif,ADF-STEM,28,200.0,1.7856606309280876,1.6898388616933118,HR
30,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_200ns_002_000.tif,ADF-STEM,28,200.0,3.974212554820352,3.970327835018453,HR
31,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_200ns_002_001.tif,ADF-STEM,28,200.0,3.954272838009004,3.871843202526698,HR
44,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_300ns_001_000.tif,ADF-STEM,28,300.0,4.067362307154505,4.0251094167877355,HR
45,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_300ns_001_001.tif,ADF-STEM,28,300.0,5.123473107984913,5.052825693319297,HR
46,..\data\3_SNR-comparison-detectors\SNR-final-combined\HR\ADF-STEM\STEM_28kV_300ns_002_000.tif,ADF-STEM,28,300.0,5.039750553132624,4.964877156811932,HR
